member_id,tier,rule_names_fired,trigger_metric,trigger_value,threshold,default_propensity_score,risk_band,priority_rank,constraint_override,constraint_override_reason,recommended_action,constraint_compliant_action,time_window_for_response,excluded_reason,last_actioned_date,days_since_last_contribution,withdrawal_surge_index,loan_outstanding_kes,par30_breach_flag,compliance_status,regulatory_liquid_ratio_pct,loan_to_deposit_ratio_pct
STM00329,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,87.59,45 days / WSI 2.0,0.6,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 87.6%.,,Same day / 2 working days,,2024-11-09,7.0,0.74,367749.14,0,BREACH,16.1,87.59
STM00436,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.75,60 days / WSI 2.0,0.6,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.8%.,,Same day / 2 working days,,,26.0,1.44,94909.9,0,BREACH,18.61,80.75
STM00170,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.56,45 days / WSI 2.0,0.5,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.6%.,,Same day / 2 working days,,,4.0,1.21,348294.86,0,BREACH,9.56,61.45
STM00318,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.11,45 days / WSI 2.0,0.5,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.1%.,,Same day / 2 working days,,2024-11-08,13.0,0.79,246041.65,0,BREACH,9.11,67.76
STM00473,Basic,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.66,60 days / WSI 2.0,0.5,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.7%.,,Same day / 2 working days,,,9.0,0.55,73400.15,0,BREACH,9.66,68.94
STM00478,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,85.94,60 days / WSI 2.0,0.5,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 85.9%.,,Same day / 2 working days,,2024-10-05,23.0,1.64,39957.36,0,BREACH,10.68,85.94
STM00519,Basic,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.92,60 days / WSI 2.0,0.5,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.9%.,,Same day / 2 working days,,,7.0,1.72,54731.2,0,BREACH,9.92,73.28
STM00543,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,85.55,60 days / WSI 2.0,0.5,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 85.5%.,,Same day / 2 working days,,,16.0,1.72,73682.82,0,BREACH,13.83,85.55
STM00046,Premium,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.99,30 days / WSI 2.0,0.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 87.0%.,,Same day / 2 working days,,2024-11-04,13.0,1.04,1001962.26,0,BREACH,12.26,86.99
STM00114,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,85.51,45 days / WSI 2.0,0.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 85.5%.,,Same day / 2 working days,,,12.0,1.35,382178.52,0,BREACH,13.24,85.51
STM00177,Standard,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.99,45 days / WSI 2.0,0.4,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.0%.,,Same day / 2 working days,,2024-10-05,15.0,0.87,382377.72,0,BREACH,8.99,80.32
STM00461,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.1,60 days / WSI 2.0,0.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.1%.,,Same day / 2 working days,,,25.0,1.34,109590.51,0,BREACH,18.27,80.1
STM00495,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,86.81,60 days / WSI 2.0,0.4,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 86.8%.,,Same day / 2 working days,,,,0.43,93478.96,0,BREACH,15.11,86.81
STM00541,Basic,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.05,60 days / WSI 2.0,0.4,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.1%.,,Same day / 2 working days,,,12.0,1.77,34071.99,0,BREACH,9.05,57.88
STM00049,Premium,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.36,30 days / WSI 2.0,0.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.4%.,,Same day / 2 working days,,,10.0,0.83,522335.81,0,BREACH,9.36,56.86
STM00061,Premium,"Withdrawal Surge Alert, LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.92,30 days / WSI 2.0,0.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.9%.,,Same day / 2 working days,,2024-10-22,25.0,3.89,860832.16,0,BREACH,16.3,82.92
STM00307,Standard,"Withdrawal Surge Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.98,45 days / WSI 2.0,0.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.0%.,,Same day / 2 working days,,2024-11-09,11.0,3.69,188178.58,0,BREACH,8.98,86.96
STM00373,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,83.83,45 days / WSI 2.0,0.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 83.8%.,,Same day / 2 working days,,,18.0,1.31,117184.36,0,BREACH,14.11,83.83
STM00497,Basic,"Withdrawal Surge Alert, Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.98,60 days / WSI 2.0,0.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.0%.,,Same day / 2 working days,,,21.0,3.02,85722.79,0,BREACH,8.98,83.34
STM00547,Basic,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,85.94,60 days / WSI 2.0,0.3,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 85.9%.,,Same day / 2 working days,,2024-09-25,14.0,1.54,45734.98,0,BREACH,11.42,85.94
STM00575,Basic,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.9,60 days / WSI 2.0,0.3,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.9%.,,Same day / 2 working days,,2024-09-10,,1.6,48545.98,0,BREACH,9.9,73.62
STM00065,Premium,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.87,30 days / WSI 2.0,0.2,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.9%.,,Same day / 2 working days,,,14.0,1.47,721037.77,0,BREACH,8.87,84.88
STM00129,Standard,"Liquidity Ratio Breach, LTD Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.18,45 days / WSI 2.0,0.2,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.2%.,,Same day / 2 working days,,,18.0,0.41,192058.32,0,BREACH,9.18,87.6
STM00146,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,80.53,45 days / WSI 2.0,0.2,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 80.5%.,,Same day / 2 working days,,,7.0,0.88,318497.51,0,BREACH,18.11,80.53
STM00163,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,82.51,45 days / WSI 2.0,0.2,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 82.5%.,,Same day / 2 working days,,,,1.07,333508.61,0,BREACH,16.56,82.51
STM00168,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,9.58,45 days / WSI 2.0,0.2,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.6%.,,Same day / 2 working days,,,12.0,1.34,373740.36,0,BREACH,9.58,79.91
STM00006,Premium,Liquidity Ratio Breach,regulatory_liquid_ratio_pct,9.21,30 days / WSI 2.0,0.1,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 9.2%.,,Same day / 2 working days,capacity_limit,,18.0,0.87,735812.92,0,BREACH,9.21,72.51
STM00048,Premium,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,84.39,30 days / WSI 2.0,0.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 84.4%.,,Same day / 2 working days,capacity_limit,,7.0,1.43,438621.6,0,BREACH,15.83,84.39
STM00134,Standard,"Liquidity Ratio Breach, PAR30 Escalation",regulatory_liquid_ratio_pct,8.93,45 days / WSI 2.0,0.1,LOW,1,False,,Treasury must rebalance liquid assets above 10% within 2 working days. Current: 8.9%.,,Same day / 2 working days,capacity_limit,,12.0,0.55,85896.28,0,BREACH,8.93,65.26
STM00145,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,87.88,45 days / WSI 2.0,0.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 87.9%.,,Same day / 2 working days,capacity_limit,,23.0,1.34,178713.84,0,BREACH,15.97,87.88
STM00226,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.88,45 days / WSI 2.0,0.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.9%.,,Same day / 2 working days,capacity_limit,,6.0,0.62,374587.92,0,BREACH,18.18,81.88
STM00239,Standard,"LTD Ratio Breach, PAR30 Escalation",loan_to_deposit_ratio_pct,81.16,45 days / WSI 2.0,0.1,LOW,1,False,,Credit team must pause new disbursements immediately. LTD ratio: 81.2%.,,Same day / 2 working days,capacity_limit,,24.0,0.9,104925.39,0,BREACH,17.07,81.16
