member_id,snapshot_date,snapshot_date_raw,report_month,tier,monthly_contribution_kes,days_since_last_contribution,withdrawal_surge_index,payroll_confirmation_lag_days,savings_balance_kes,loan_outstanding_kes,par30_breach_flag,last_actioned_date,regulatory_liquid_ratio_pct,loan_to_deposit_ratio_pct
STM00001,2024-02-01,2024-02-01,2024-02-01,Premium,12603.55,11.0,1.66,7,606320.76,1128100.46,0,2023-11-19,19.51,76.11
STM00001,2024-03-01,2024-03-01,2024-03-01,Premium,13504.65,16.0,1.54,7,619205.6,905134.87,0,2024-02-16,13.19,67.89
STM00001,2024-04-01,2024-04-01,2024-04-01,Premium,12055.14,11.0,1.34,3,626161.22,1114833.59,0,,15.57,62.33
STM00001,2024-05-01,2024-05-01,2024-05-01,Premium,13941.38,21.0,0.54,0,635871.97,420803.37,0,,11.99,74.78
STM00001,2024-06-01,2024-06-01,2024-06-01,Premium,13552.53,15.0,0.98,8,647901.94,936716.27,0,,10.55,65.67
STM00001,2024-07-01,01/07/2024,2024-07-01,Premium,12784.71,14.0,0.74,7,659568.26,425927.52,0,,12.19,73.97
STM00001,2024-08-01,2024-08-01,2024-08-01,Premium,12607.77,23.0,1.43,7,667925.18,461561.42,0,,16.78,59.72
STM00001,2024-09-01,2024-09-01,2024-09-01,Premium,13663.77,1.0,1.03,6,681348.31,545115.9,0,2024-08-14,11.95,61.13
STM00001,2024-10-01,2024-10-01,2024-10-01,Premium,13843.58,23.0,0.76,2,692220.57,754906.61,0,2024-07-27,9.16,79.6
STM00001,2024-11-01,2024-11-01,2024-11-01,Premium,12426.46,19.0,0.45,4,704329.91,375132.28,0,2024-08-17,15.21,83.21
STM00001,2024-12-01,2024-12-01,2024-12-01,Premium,11234.26,21.0,0.48,6,709105.87,755760.51,0,2024-09-22,18.05,64.54
STM00002,2023-01-01,01/01/2023,2023-01-01,Premium,4760.67,21.0,1.44,3,559254.24,620682.04,0,,10.78,72.39
STM00002,2023-02-01,2023-02-01,2023-02-01,Premium,4794.64,18.0,1.77,8,563448.03,688675.7,0,2022-11-15,8.56,86.6
STM00002,2023-03-01,2023-03-01,2023-03-01,Premium,4753.01,,1.52,7,566885.34,1257049.55,0,2023-01-02,15.06,69.86
STM00002,2023-04-01,2023-04-01,2023-04-01,Premium,6073.17,27.0,0.53,4,570955.34,1033143.38,0,,10.03,84.34
STM00002,2023-05-01,2023-05-01,2023-05-01,Premium,5228.87,18.0,1.74,2,575835.87,1091819.38,0,2023-02-26,15.72,69.59
STM00002,2023-06-01,2023-06-01,2023-06-01,Premium,5727.06,27.0,1.01,6,578408.4,1099044.29,0,,19.57,63.42
STM00002,2023-07-01,01/07/2023,2023-07-01,Premium,4962.43,19.0,1.13,0,,452796.54,0,,8.63,84.62
STM00002,2023-08-01,2023-08-01,2023-08-01,Premium,5532.07,18.0,1.69,5,585301.79,1024085.43,0,2023-06-23,18.04,77.34
STM00002,2023-09-01,2023-09-01,2023-09-01,Premium,5753.07,13.0,1.45,4,590570.68,757144.03,0,,18.36,77.82
STM00002,2023-10-01,2023-10-01,2023-10-01,Premium,5620.65,,1.19,8,593084.04,1084566.29,0,,11.57,72.25
STM00002,2023-11-01,2023-11-01,2023-11-01,Premium,5944.01,11.0,1.39,3,595528.36,930262.82,0,2023-09-06,12.46,76.46
STM00002,2023-12-01,2023-12-01,2023-12-01,Premium,5705.14,19.0,0.77,9,601163.65,1248028.32,0,,16.82,78.9
STM00002,2024-01-01,01/01/2024,2024-01-01,Premium,4831.37,21.0,1.27,8,,1032741.74,0,2023-11-06,10.99,66.2
STM00002,2024-02-01,2024-02-01,2024-02-01,Premium,5372.22,9.0,1.69,5,606807.86,1231098.88,0,2024-01-03,10.37,61.4
STM00002,2024-03-01,2024-03-01,2024-03-01,Premium,5785.55,7.0,1.25,6,611991.23,1281605.54,0,,8.68,74.41
STM00002,2024-04-01,2024-04-01,2024-04-01,Premium,5790.41,4.0,0.65,9,615212.99,1202062.45,0,,9.01,71.98
STM00002,2024-05-01,2024-05-01,2024-05-01,Premium,5507.46,14.0,0.98,8,620184.61,1274203.17,0,2024-04-20,12.44,61.85
STM00002,2024-06-01,2024-06-01,2024-06-01,Premium,6324.86,,1.33,5,623319.19,1236590.83,0,2024-03-08,16.18,84.32
STM00002,2024-07-01,01/07/2024,2024-07-01,Premium,4877.49,8.0,0.59,6,625859.39,1022530.21,0,,21.45,64.47
STM00002,2024-08-01,2024-08-01,2024-08-01,Premium,5989.77,,0.77,2,629959.99,1117163.75,0,,18.09,64.46
STM00002,2024-09-01,2024-09-01,2024-09-01,Premium,5773.57,1.0,1.14,7,634180.65,849646.41,0,,13.0,57.81
STM00002,2024-10-01,2024-10-01,2024-10-01,Premium,4732.62,24.0,0.95,9,636145.56,922774.05,0,2024-08-03,9.46,67.54
STM00002,2024-11-01,2024-11-01,2024-11-01,Premium,5207.49,23.0,0.51,4,640441.52,917929.39,0,,12.66,56.62
STM00002,2024-12-01,2024-12-01,2024-12-01,Premium,5192.55,4.0,1.16,3,644976.45,554882.82,0,,17.96,76.39
STM00003,2023-01-01,01/01/2023,2023-01-01,Premium,12196.66,23.0,1.08,35,555661.28,436133.67,0,,17.57,76.96
STM00003,2023-02-01,2023-02-01,2023-02-01,Premium,13494.76,2.0,1.09,30,567433.22,1055328.07,0,,13.77,85.58
STM00003,2023-03-01,2023-03-01,2023-03-01,Premium,14144.63,16.0,0.5,25,577417.68,807057.74,0,2022-12-24,17.49,77.53
STM00003,2023-04-01,2023-04-01,2023-04-01,Premium,13993.77,18.0,1.53,23,588612.38,897862.69,0,2023-02-26,18.42,70.66
STM00003,2023-05-01,2023-05-01,2023-05-01,Premium,13590.9,9.0,0.91,23,601718.12,983995.49,0,2023-03-07,13.91,56.39
STM00003,2023-06-01,2023-06-01,2023-06-01,Premium,15279.42,3.0,0.51,20,615721.05,1205199.85,0,,15.83,68.74
STM00003,2023-07-01,01/07/2023,2023-07-01,Premium,14560.26,27.0,1.39,16,622192.23,905555.86,0,2023-06-18,17.35,71.07
STM00003,2023-08-01,2023-08-01,2023-08-01,Premium,15159.86,4.0,1.68,33,636427.02,940756.44,0,2023-07-28,14.05,55.3
STM00003,2023-09-01,2023-09-01,2023-09-01,Premium,12833.67,2.0,1.64,29,647177.23,1099094.48,0,,11.05,63.89
STM00003,2023-10-01,2023-10-01,2023-10-01,Premium,13718.9,10.0,1.24,35,,484999.69,0,2023-07-30,15.04,77.87
STM00003,2023-11-01,2023-11-01,2023-11-01,Premium,12118.48,15.0,1.52,16,668067.26,916122.17,0,2023-09-28,12.59,68.46
STM00003,2023-12-01,2023-12-01,2023-12-01,Premium,12834.85,8.0,0.78,30,673427.77,1238708.15,0,,10.9,58.14
STM00003,2024-01-01,01/01/2024,2024-01-01,Premium,15246.17,18.0,0.8,41,688273.17,632426.35,0,2023-12-05,19.07,55.69
STM00003,2024-02-01,2024-02-01,2024-02-01,Premium,11490.87,7.0,0.57,29,694500.68,459050.89,0,2023-11-22,17.26,73.45
STM00003,2024-03-01,2024-03-01,2024-03-01,Premium,332.87,61.0,0.62,29,694693.7,467769.98,0,2024-01-16,17.48,65.22
STM00003,2024-04-01,2024-04-01,2024-04-01,Premium,1058.1,83.0,1.14,32,695441.54,543029.61,0,,18.75,55.34
STM00003,2024-05-01,2024-05-01,2024-05-01,Premium,2749.53,112.0,0.94,42,696654.73,1092797.52,0,2024-04-22,12.81,87.47
STM00003,2024-06-01,2024-06-01,2024-06-01,Premium,3733.16,63.0,1.12,44,699126.13,588201.6,1,2024-03-12,9.2,61.89
STM00003,2024-07-01,01/07/2024,2024-07-01,Premium,3883.74,47.0,1.61,23,702624.39,1268315.52,1,2024-04-23,8.77,56.74
STM00003,2024-08-01,2024-08-01,2024-08-01,Premium,2597.58,,1.78,40,704291.57,610999.96,1,2024-05-14,12.86,59.14
STM00003,2024-09-01,2024-09-01,2024-09-01,Premium,832.26,,1.29,21,705042.26,676205.25,1,,15.41,78.4
STM00003,2024-10-01,2024-10-01,2024-10-01,Premium,1694.38,54.0,0.51,16,706085.11,878587.55,1,,17.16,74.06
STM00003,2024-11-01,2024-11-01,2024-11-01,Premium,3132.36,50.0,1.14,25,707783.34,933833.29,1,,19.07,61.04
STM00003,2024-12-01,2024-12-01,2024-12-01,Premium,1048.39,102.0,1.73,24,708577.21,817913.45,1,,12.79,68.9
STM00004,2023-01-01,01/01/2023,2023-01-01,Premium,5184.79,5.0,0.86,8,305360.87,445020.95,0,2022-10-31,17.97,85.55
STM00004,2023-02-01,2023-02-01,2023-02-01,Premium,5707.2,21.0,1.09,6,311027.9,387246.65,0,,11.27,65.05
STM00004,2023-03-01,2023-03-01,2023-03-01,Premium,5890.56,16.0,1.56,0,316173.74,678164.39,0,,11.28,75.25
STM00004,2023-04-01,2023-04-01,2023-04-01,Premium,4859.23,8.0,1.15,3,319239.84,227658.64,0,,18.47,84.18
STM00004,2023-05-01,2023-05-01,2023-05-01,Premium,6526.74,7.0,0.76,3,325733.56,549942.8,0,2023-04-30,17.52,85.48
STM00004,2023-06-01,2023-06-01,2023-06-01,Premium,5930.36,4.0,0.89,8,329466.06,291953.41,0,2023-04-13,20.39,62.04
STM00004,2023-07-01,01/07/2023,2023-07-01,Premium,5760.8,9.0,0.75,5,333434.04,277476.23,0,,9.85,70.06
STM00004,2023-08-01,2023-08-01,2023-08-01,Premium,5485.35,24.0,0.77,0,337758.84,520757.57,0,,20.03,56.8
STM00004,2023-09-01,2023-09-01,2023-09-01,Premium,6386.37,15.0,1.35,4,342215.41,572851.42,0,,14.04,77.61
STM00004,2023-10-01,2023-10-01,2023-10-01,Premium,5673.85,17.0,1.19,4,346681.1,638870.93,0,2023-08-28,13.73,63.75
STM00004,2023-11-01,2023-11-01,2023-11-01,Premium,5822.14,,1.01,4,352411.23,591978.26,0,,21.3,65.7
STM00004,2023-12-01,2023-12-01,2023-12-01,Premium,6145.68,,0.52,2,356748.91,528982.68,0,2023-09-03,19.4,58.28
STM00004,2024-01-01,01/01/2024,2024-01-01,Premium,5600.76,13.0,0.46,0,360169.58,541110.59,0,,12.04,72.77
STM00004,2024-02-01,2024-02-01,2024-02-01,Premium,6441.9,21.0,1.49,2,364258.28,259285.06,0,2023-12-30,19.56,77.29
STM00004,2024-03-01,2024-03-01,2024-03-01,Premium,5491.98,17.0,0.8,3,369544.69,573912.63,0,,15.5,74.02
STM00004,2024-04-01,2024-04-01,2024-04-01,Premium,6046.61,2.0,1.67,0,373515.26,227141.61,0,,21.92,67.57
STM00004,2024-05-01,2024-05-01,2024-05-01,Premium,5765.9,,1.05,7,376307.54,390110.42,0,,13.64,87.99
STM00004,2024-06-01,2024-06-01,2024-06-01,Premium,5556.64,17.0,1.05,4,380836.06,474460.75,0,2024-04-27,13.85,74.91
STM00004,2024-07-01,01/07/2024,2024-07-01,Premium,6397.44,12.0,0.44,2,386268.65,696334.84,0,,13.73,66.91
STM00004,2024-08-01,2024-08-01,2024-08-01,Premium,5416.06,23.0,0.87,1,391104.54,649217.85,0,,18.47,68.37
STM00004,2024-09-01,2024-09-01,2024-09-01,Premium,4976.25,12.0,0.75,8,393270.58,490114.52,0,2024-08-10,11.22,83.09
STM00004,2024-10-01,2024-10-01,2024-10-01,Premium,6396.8,17.0,0.8,4,397802.83,392811.75,0,,14.95,79.51
STM00004,2024-11-01,2024-11-01,2024-11-01,Premium,5545.3,,1.66,4,402176.99,374961.16,0,,19.14,82.71
STM00004,2024-12-01,2024-12-01,2024-12-01,Premium,4921.49,21.0,1.32,0,404219.07,469057.22,0,,15.12,83.95
STM00005,2023-01-01,01/01/2023,2023-01-01,Premium,4566.98,26.0,1.16,0,639095.59,789309.64,0,,18.6,57.89
STM00005,2023-02-01,2023-02-01,2023-02-01,Premium,5301.89,2.0,1.35,7,641603.56,898681.61,0,2023-01-09,13.79,74.52
STM00005,2023-03-01,2023-03-01,2023-03-01,Premium,4499.63,1.0,1.7,8,645513.29,573743.49,0,2022-12-06,18.01,61.71
STM00005,2023-04-01,2023-04-01,2023-04-01,Premium,5056.55,18.0,0.89,2,647573.64,1360769.09,0,2023-01-20,12.27,85.11
STM00005,2023-05-01,2023-05-01,2023-05-01,Premium,4590.45,12.0,1.67,1,650287.62,944657.03,0,,17.6,76.01
STM00005,2023-06-01,2023-06-01,2023-06-01,Premium,5243.04,21.0,1.65,2,,1261681.26,0,,15.17,62.2
STM00005,2023-07-01,01/07/2023,2023-07-01,Premium,5773.31,20.0,0.47,6,658153.82,1112549.68,0,2023-04-20,12.98,83.73
STM00005,2023-08-01,2023-08-01,2023-08-01,Premium,5415.57,23.0,1.28,1,662447.18,1166414.72,0,2023-06-12,11.15,68.51
STM00005,2023-09-01,2023-09-01,2023-09-01,Premium,5581.23,27.0,1.63,3,665737.74,1059742.92,0,,20.36,60.51
STM00005,2023-10-01,2023-10-01,2023-10-01,Premium,4898.05,26.0,1.09,0,668187.33,1030847.09,0,2023-08-17,17.81,82.76
STM00005,2023-11-01,2023-11-01,2023-11-01,Premium,5424.25,18.0,0.74,6,,1398835.22,0,2023-08-06,12.26,76.77
STM00005,2023-12-01,2023-12-01,2023-12-01,Premium,5361.36,10.0,1.6,4,673662.33,1437546.6,0,,10.68,82.43
STM00005,2024-01-01,01/01/2024,2024-01-01,Premium,5075.94,17.0,0.73,8,675737.55,1092447.89,0,,19.39,73.3
STM00005,2024-02-01,2024-02-01,2024-02-01,Premium,5646.59,9.0,1.5,1,679748.49,878334.98,0,2023-11-03,10.83,83.18
STM00005,2024-03-01,2024-03-01,2024-03-01,Premium,4729.76,17.0,0.83,9,683384.91,1325931.35,0,2023-12-27,17.91,85.94
STM00005,2024-04-01,2024-04-01,2024-04-01,Premium,4522.93,12.0,0.51,0,685266.98,1167868.94,0,,15.78,86.99
STM00005,2024-05-01,2024-05-01,2024-05-01,Premium,4700.86,17.0,1.34,5,689321.2,802206.1,0,,20.03,55.77
STM00005,2024-06-01,2024-06-01,2024-06-01,Premium,5832.72,,0.64,6,691955.52,696387.89,0,2024-05-19,14.01,81.17
STM00005,2024-07-01,01/07/2024,2024-07-01,Premium,5370.91,18.0,0.87,1,695516.3,915268.92,0,2024-05-17,9.12,62.77
STM00005,2024-08-01,2024-08-01,2024-08-01,Premium,5841.91,19.0,0.91,6,699206.88,1049060.02,0,,10.2,84.61
STM00005,2024-09-01,2024-09-01,2024-09-01,Premium,5207.33,1.0,1.01,3,703729.82,1306307.46,0,2024-08-14,21.91,55.7
STM00005,2024-10-01,2024-10-01,2024-10-01,Premium,4581.77,5.0,0.72,2,708253.11,1066234.91,0,,14.33,71.98
STM00005,2024-11-01,2024-11-01,2024-11-01,Premium,5049.14,27.0,1.21,2,713179.72,625718.14,0,,15.54,57.67
STM00005,2024-12-01,2024-12-01,2024-12-01,Premium,5003.22,27.0,0.76,8,717128.28,1004031.57,0,2024-09-09,18.18,69.82
STM00006,2023-01-01,01/01/2023,2023-01-01,Premium,14229.23,15.0,1.66,2,542527.92,1200772.48,0,,21.42,65.08
STM00006,2023-02-01,2023-02-01,2023-02-01,Premium,17470.22,8.0,0.82,0,555403.6,1041399.85,0,,17.96,60.84
STM00006,2023-03-01,2023-03-01,2023-03-01,Premium,16929.88,,1.06,3,564499.33,430244.1,0,,11.33,85.33
STM00006,2023-04-01,2023-04-01,2023-04-01,Premium,18165.67,17.0,0.7,2,574163.62,553376.13,0,,8.52,81.3
STM00006,2023-05-01,2023-05-01,2023-05-01,Premium,15217.89,14.0,1.74,3,587903.68,733104.08,0,2023-03-13,16.34,67.64
STM00006,2023-06-01,2023-06-01,2023-06-01,Premium,17280.14,23.0,1.69,4,605019.55,1243515.86,0,,10.71,78.42
STM00006,2023-07-01,01/07/2023,2023-07-01,Premium,15525.1,,1.57,3,615689.17,495605.38,0,2023-05-04,14.99,68.32
STM00006,2023-08-01,2023-08-01,2023-08-01,Premium,14883.1,27.0,1.66,2,624292.7,896042.34,0,,17.05,78.84
STM00006,2023-09-01,2023-09-01,2023-09-01,Premium,16868.6,21.0,1.69,2,640880.99,423392.77,0,,12.34,77.16
STM00006,2023-10-01,2023-10-01,2023-10-01,Premium,15412.36,12.0,1.64,7,650465.57,478284.3,0,2023-09-22,10.49,76.79
STM00006,2023-11-01,2023-11-01,2023-11-01,Premium,15058.37,12.0,1.01,5,664306.7,1106621.4,0,2023-09-21,22.0,55.75
STM00006,2023-12-01,2023-12-01,2023-12-01,Premium,15628.31,8.0,1.31,7,679277.18,1233192.06,0,2023-11-23,20.05,86.93
STM00006,2024-01-01,01/01/2024,2024-01-01,Premium,16779.59,27.0,0.69,4,689533.96,867187.65,0,2023-12-30,15.5,87.41
STM00006,2024-02-01,2024-02-01,2024-02-01,Premium,17738.35,,1.57,8,706639.2,997207.59,0,,14.63,68.5
STM00006,2024-03-01,2024-03-01,2024-03-01,Premium,13807.02,16.0,1.14,2,719120.77,874234.9,0,,13.27,73.68
STM00006,2024-04-01,2024-04-01,2024-04-01,Premium,17213.97,21.0,1.01,0,726227.39,790839.5,0,,13.25,70.59
STM00006,2024-05-01,2024-05-01,2024-05-01,Premium,17749.53,2.0,0.46,1,742348.3,790018.55,0,2024-04-18,20.39,77.93
STM00006,2024-06-01,2024-06-01,2024-06-01,Premium,18421.23,22.0,0.44,3,756445.87,756854.24,0,,15.67,70.15
STM00006,2024-07-01,01/07/2024,2024-07-01,Premium,16008.68,10.0,1.3,2,765020.62,738419.89,0,,19.91,60.21
STM00006,2024-08-01,2024-08-01,2024-08-01,Premium,18599.66,27.0,0.6,5,779758.21,617622.31,0,2024-06-12,16.43,76.12
STM00006,2024-09-01,2024-09-01,2024-09-01,Premium,15954.87,8.0,1.0,8,,661323.57,0,,8.9,76.46
STM00006,2024-10-01,2024-10-01,2024-10-01,Premium,18121.15,14.0,1.25,6,803693.85,622909.06,0,,11.67,73.36
STM00006,2024-11-01,2024-11-01,2024-11-01,Premium,13788.29,25.0,0.88,2,811245.02,1107476.56,0,2024-10-08,21.72,59.28
STM00006,2024-12-01,2024-12-01,2024-12-01,Premium,14413.99,18.0,0.87,9,821239.56,735812.92,0,,9.21,72.51
STM00007,2023-01-01,01/01/2023,2023-01-01,Premium,11426.01,15.0,1.45,4,347438.93,264959.02,0,2022-10-12,12.26,62.74
STM00007,2023-02-01,2023-02-01,2023-02-01,Premium,11023.7,4.0,1.7,0,357896.32,607370.94,0,,20.18,74.52
STM00007,2023-03-01,2023-03-01,2023-03-01,Premium,13535.2,1.0,0.8,5,368309.51,369745.57,0,2023-01-15,18.69,83.57
STM00007,2023-04-01,2023-04-01,2023-04-01,Premium,12816.01,9.0,1.51,9,376026.65,347839.53,0,2023-03-27,15.22,70.24
STM00007,2023-05-01,2023-05-01,2023-05-01,Premium,12907.35,22.0,0.6,5,386035.39,582957.36,0,2023-03-31,9.83,77.99
STM00007,2023-06-01,2023-06-01,2023-06-01,Premium,13172.65,7.0,1.5,8,396930.19,619682.27,0,2023-04-28,15.72,78.85
STM00007,2023-07-01,01/07/2023,2023-07-01,Premium,11512.43,,1.09,2,407955.54,774472.48,0,,8.81,62.96
STM00007,2023-08-01,2023-08-01,2023-08-01,Premium,13575.43,15.0,0.48,2,415802.26,325211.07,0,,13.99,79.58
STM00007,2023-09-01,2023-09-01,2023-09-01,Premium,14185.88,20.0,1.67,4,429546.12,496937.72,0,,16.91,74.15
STM00007,2023-10-01,2023-10-01,2023-10-01,Premium,12992.65,15.0,1.17,2,442090.54,749757.72,0,,16.25,74.3
STM00007,2023-11-01,2023-11-01,2023-11-01,Premium,11617.66,3.0,0.54,0,446913.19,376825.11,0,,9.54,73.05
STM00007,2023-12-01,2023-12-01,2023-12-01,Premium,14046.59,,0.96,0,453591.26,305626.06,0,2023-10-30,16.06,58.59
STM00007,2024-01-01,01/01/2024,2024-01-01,Premium,10630.44,,0.78,4,,436998.25,0,2023-10-05,14.45,87.92
STM00007,2024-02-01,2024-02-01,2024-02-01,Premium,12726.49,14.0,0.44,4,466620.72,783488.86,0,,16.74,63.75
STM00007,2024-03-01,2024-03-01,2024-03-01,Premium,11827.75,,1.64,2,476139.96,385994.24,0,2023-12-20,18.3,62.04
STM00007,2024-04-01,2024-04-01,2024-04-01,Premium,14155.47,24.0,1.37,1,487279.86,398883.9,0,,9.32,82.65
STM00007,2024-05-01,2024-05-01,2024-05-01,Premium,12471.26,17.0,1.63,7,493461.02,378510.98,0,,11.94,80.57
STM00007,2024-06-01,2024-06-01,2024-06-01,Premium,13891.52,22.0,1.66,4,500286.59,456828.43,0,,15.87,87.93
STM00007,2024-07-01,01/07/2024,2024-07-01,Premium,12921.41,21.0,1.22,2,507022.72,651218.3,0,,19.51,67.51
STM00007,2024-08-01,2024-08-01,2024-08-01,Premium,12162.55,,0.47,0,518031.42,577267.87,0,,19.91,81.63
STM00007,2024-09-01,2024-09-01,2024-09-01,Premium,14203.34,,1.74,5,530423.65,532147.67,0,2024-07-31,19.49,60.2
STM00007,2024-10-01,2024-10-01,2024-10-01,Premium,10933.75,17.0,0.8,9,,586360.44,0,2024-08-12,12.2,85.68
STM00007,2024-11-01,2024-11-01,2024-11-01,Premium,12468.96,,1.01,3,544898.08,437137.45,0,2024-10-25,14.17,81.32
STM00007,2024-12-01,2024-12-01,2024-12-01,Premium,14121.08,16.0,1.2,8,554016.75,426700.03,0,,16.48,65.51
STM00008,2023-01-01,01/01/2023,2023-01-01,Premium,12208.13,2.0,1.19,8,617163.92,1390508.39,0,,13.73,70.53
STM00008,2023-02-01,2023-02-01,2023-02-01,Premium,11682.65,11.0,1.62,8,628115.2,1020988.54,0,2022-11-26,11.8,85.88
STM00008,2023-03-01,2023-03-01,2023-03-01,Premium,11571.96,2.0,1.23,4,638406.82,1143479.42,0,,12.45,64.3
STM00008,2023-04-01,2023-04-01,2023-04-01,Premium,9521.71,21.0,1.73,5,643928.66,1117593.46,0,,13.08,65.49
STM00008,2023-05-01,2023-05-01,2023-05-01,Premium,11175.24,7.0,1.32,5,651850.38,565093.96,0,2023-02-07,17.89,85.63
STM00008,2023-06-01,2023-06-01,2023-06-01,Premium,9947.0,26.0,1.13,0,658204.77,1415984.05,0,,16.9,63.62
STM00008,2023-07-01,01/07/2023,2023-07-01,Premium,10003.9,18.0,1.58,1,666988.46,621040.45,0,2023-05-06,21.28,64.48
STM00008,2023-08-01,2023-08-01,2023-08-01,Premium,9749.55,2.0,1.03,5,675076.54,1273638.93,0,2023-05-27,10.43,87.36
STM00008,2023-09-01,2023-09-01,2023-09-01,Premium,11007.11,25.0,0.73,1,685756.31,1305946.24,0,,13.7,73.61
STM00008,2023-10-01,2023-10-01,2023-10-01,Premium,12365.14,5.0,1.41,9,695187.9,724833.04,0,,17.18,66.01
STM00008,2023-11-01,2023-11-01,2023-11-01,Premium,10505.74,17.0,0.45,5,702446.97,493700.44,0,,18.85,85.25
STM00008,2023-12-01,2023-12-01,2023-12-01,Premium,11762.28,19.0,0.89,5,,756584.09,0,2023-09-08,19.94,78.66
STM00008,2024-01-01,01/01/2024,2024-01-01,Premium,12398.45,1.0,0.66,0,714651.12,1254208.16,0,2023-10-21,15.0,69.88
STM00008,2024-02-01,2024-02-01,2024-02-01,Premium,10770.91,26.0,1.71,6,722619.59,1288681.19,0,2024-01-07,10.01,57.45
STM00008,2024-03-01,2024-03-01,2024-03-01,Premium,11697.8,26.0,1.3,5,729915.08,1191478.59,0,2024-01-18,12.63,76.02
STM00008,2024-04-01,2024-04-01,2024-04-01,Premium,9341.18,17.0,1.29,1,735884.48,1105163.09,0,,11.63,74.52
STM00008,2024-05-01,2024-05-01,2024-05-01,Premium,9536.59,10.0,0.97,7,742854.54,1060739.92,0,,14.04,80.48
STM00008,2024-06-01,2024-06-01,2024-06-01,Premium,12336.51,23.0,1.31,8,752262.87,1274141.44,0,2024-03-14,21.7,86.15
STM00008,2024-07-01,01/07/2024,2024-07-01,Premium,11351.28,20.0,1.11,9,,762850.54,0,2024-05-05,19.22,56.74
STM00008,2024-08-01,2024-08-01,2024-08-01,Premium,9848.99,,1.52,6,771123.3,948087.22,0,2024-05-22,9.17,64.55
STM00008,2024-09-01,2024-09-01,2024-09-01,Premium,11137.98,18.0,1.72,4,782128.68,1061267.3,0,,12.34,78.4
STM00008,2024-10-01,2024-10-01,2024-10-01,Premium,11653.85,4.0,1.69,4,787807.33,1110202.21,0,,20.02,67.8
STM00008,2024-11-01,2024-11-01,2024-11-01,Premium,10733.07,5.0,1.43,5,796428.69,1395891.82,0,,20.39,60.24
STM00008,2024-12-01,2024-12-01,2024-12-01,Premium,10753.68,1.0,0.87,1,806125.79,536298.98,0,,14.42,56.18
STM00009,2023-01-01,01/01/2023,2023-01-01,Premium,11234.05,19.0,1.15,4,634744.2,709071.91,0,,17.53,65.93
STM00009,2023-02-01,2023-02-01,2023-02-01,Premium,13441.53,20.0,1.62,4,646789.64,1070912.81,0,,12.44,60.91
STM00009,2023-03-01,2023-03-01,2023-03-01,Premium,13944.7,18.0,0.99,1,660398.93,550365.3,0,,10.21,70.45
STM00009,2023-04-01,2023-04-01,2023-04-01,Premium,11860.09,26.0,1.65,9,669250.99,590499.14,0,,21.05,61.36
STM00009,2023-05-01,2023-05-01,2023-05-01,Premium,11800.38,1.0,1.52,8,680102.98,688035.9,0,,9.68,66.76
STM00009,2023-06-01,2023-06-01,2023-06-01,Premium,14083.98,17.0,1.79,3,690295.49,704338.82,0,,14.89,63.27
STM00009,2023-07-01,01/07/2023,2023-07-01,Premium,11837.8,11.0,1.11,7,701232.33,1114140.45,0,,11.06,74.16
STM00009,2023-08-01,2023-08-01,2023-08-01,Premium,14729.79,2.0,0.84,4,714964.25,536015.62,0,2023-05-22,13.18,66.64
